twitter_count
1
2
12
4
2
1
9
1
1
1
4
1
42
4
6
1
3
39
1
29
1
1
2
1
1
1
3
1
1
1
3
3
2
3
5
18
6
1
6
1
1
2
1
44
3
8
2
20
2
10
1
1
1
1
1
11
1
2
3
4
1
2
1
3
1
1
6
3
1
2
3
2
1
2
1
4
1
3
16
2
2
5
13
2
1
5
39
1
2
5
6
4
1
13
2
1
1
4
1
1
3
12
1
1
1
1
1
1
1
2
1
34
1
2
4
2
1
2
1
4
6
3
11
1
1
2
1
1
2
1
5
4
3
5
1
1
160
4
4
1
11
1
21
1
4
1
2
3
11
1
17
3
1
4
1
52
1
8
1
1
1
21
3
1
2
1
8
121
9
1
3
8
15
1
2
1
7
4
1
2
8
1
1
2
67
3
4
22
3
1
15
1
3
1
14
2
1
12
1
6
1
10
8
1
14
3
4
4
3
1
29
6
3
1
3
1
1
2
1
2
1
1
3
6
1
1
1
4
1
1
6
5
2
6
1
1
2
14
2
2
1
1
1
1
5
3
1
13
2
2
3
2
1
2
2
14
6
1
1
2
2
1
2
2
1
1
1
30
2
1
2
3
3
1
1
5
3
27
1
27
1
77
1
2
1
3
1
24
14
1
4
1
1
6
1
2
3
1
1
1
3
1
1
1
1
1
4
11
1
2
2
3
1
1
1
2
4
8
2
29
2
167
7
1
2
31
1
1
1
3
2
2
6
1
1
2
2
89
4
5
2
1
4
2
6
1
47
32
1
5
6
1
1
1
10
1
7
7
5
8
1
1
2
3
6
1
2
5
1
2
1
4
2
2
1
1
2
1
3
2
7
7
4
4
1
1
37
2
1
1
1
16
2
3
2
1
46
9
2
1
3
1
3
1
1
1
1
6
1
1
3
2
3
1
6
2
1
10
1
6
1
75
1
4
4
23
6
1
4
1
2
4
1
3
1
3
1
1
2
58
1
17
1
4
2
1
4
4
1
82
4
20
1
4
2
4
9
32
1
2
2
63
2
1
1
3
1
1
24
12
2
1
428
2
1
1
1
12
1
2
2
1
1
2
1
2
3
2
4
1
2
40
1
2
1
5
1
54
4
3
18
1
8
9
2
24
15
1
1
1
27
4
1
1
2
12
4
3
28
5
1
4
4
2
3
1
3
2
2
8
14
1
2
6
2
1
2
2
1
1
10
1
1
1
3
1
31
2
1
2
2
1
1
4
1
1
2
74
8
1
2
6
14
17
2
1
1
20
13
4
5
2
2
6
1
6
1
1
1
1
6
15
3
11
3
2
5
32
5
2
1
3
2
2
2
1
48
1
1
3
1
2
3
327
5
2
3
1
1
5
1
1
4
4
14
2
3
1
1
3
1
3
4
3
1
4
1
1
7
1
4
2
1
13
11
3
3
1
1
5
4
1
31
4
2
4
15
2
1
3
3
1
12
2
15
4
2
19
3
1
2
75
21
1
1
2
1
122
49
3
1
4
4
1
107
5
6
2
2
1
15
3
3
4
2
3
1
1
6
5
22
5
14
1
3
4
1
1
2
1
3
1
1
2
19
1
1
2
5
1
4
1
1
1
1
1
3
2
16
3
4
4
2
2
1
5
3
1
1
2
27
23
1
2
1
7
2
1
2
3
2
2
6
1
26
19
2
2
1
4
1
3
21
5
15
8
2
3
1
2
1
1
2
8
4
1
1
1
1
8
1
9
5
2
12
2
1
14
1
1
3
25
3
1
2
4
3
1
1
5
7
2
2
7
1
2
28
2
3
4
3
13
32
17
1
1
1
1
2
3
1
1
3
2
12
11
3
2
1
3
2
1
17
255
22
1
1
2
1
13
1
1
1
1
3
19
1
6
1
2
9
1
5
3
1
2
11
3
2
79
3
3
1
10
4
2
104
2
5
1
1
1
2
5
2
2
1
4
9
33
6
6
1
2
6
5
6
1
1
1
7
1
2
5
7
3
2
1
1
2
4
17
2
9
1
43
1
1
1
2
